species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie.,Torgersen,39.1,18.7,181.0,3750.0,Male
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female
Adelie,Torgersen,40.3,18.0,195.0,,Female
,Torgersen,nan,,nan,,
Adelie.,Torgersen,nan,19.3,193.0,3450.0,Female
Adelie.,Torgersen,39.3,20.6,190.0,3650.0,Male
adelie,,38.9,17.8,181.0,3625.0,Female
Adelie.,Torgersen,39.2,,195.0,4675.0,Male
Adelie,Torgersen,34.1,18.1,193.0,3475.0,
adelie,Torgersen,42.0,20.2,190.0,4250.0,
,Torgersen,37.8,17.1,,3300.0,
adelie,Torgersen,37.8,17.3,180.0,3700.0,
Adelie,,41.1,17.6,182.0,,Female
,Torgersen,38.6,21.2,191.0,3800.0,Male
Adelie.,Torgersen,34.6,21.1,198.0,4400.0,
Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female
Adelie,,38.7,19.0,195.0,3450.0,Female
Adelie.,Torgersen,42.5,20.7,197.0,4500.0,Male
adelie,Torgersen,34.4,18.4,184.0,3325.0,Female
adelie,Torgersen,46.0,21.5,194.0,4200.0,Male
Adelie.,Biscoe,37.8,,174.0,3400.0,Female
adelie,Biscoe,37.7,18.7,180.0,3600.0,Male
Adelie,Biscoe,35.9,19.2,,3800.0,Female
Adelie,Biscoe,38.2,,185.0,3950.0,Male
adelie,Biscoe,38.8,17.2,180.0,3800.0,Male
Adelie.,Biscoe,35.3,18.9,187.0,3800.0,Female
,Biscoe,,18.6,183.0,3550.0,Male
Adelie.,Biscoe,40.5,17.9,,3200.0,Female
Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female
Adelie.,Biscoe,40.5,18.9,180.0,3950.0,Male
,Dream,39.5,16.7,178.0,3250.0,Female
Adelie,Dream,37.2,,178.0,3900.0,Male
Adelie.,Dream,39.5,17.8,188.0,3300.0,Female
adelie,,40.9,,184.0,3900.0,Male
Adelie.,Dream,36.4,,,3325.0,Female
adelie,Dream,39.2,21.1,196.0,,Male
adelie,Dream,38.8,20.0,190.0,3950.0,Male
Adelie.,Dream,42.2,18.5,,3550.0,Female
adelie,Dream,37.6,19.3,181.0,3300.0,Female
Adelie.,Dream,39.8,19.1,184.0,4650.0,Male
Adelie.,Dream,36.5,18.0,182.0,3150.0,Female
Adelie,Dream,40.8,18.4,195.0,3900.0,Male
Adelie.,Dream,36.0,18.5,186.0,3100.0,Female
Adelie,Dream,44.1,19.7,196.0,4400.0,Male
Adelie.,Dream,37.0,16.9,185.0,3000.0,Female
adelie,Dream,39.6,18.8,,,Male
adelie,Dream,41.1,19.0,182.0,3425.0,Male
adelie,,37.5,18.9,179.0,,
Adelie.,Dream,36.0,17.9,190.0,3450.0,Female
Adelie,Dream,42.3,21.2,191.0,4150.0,Male
adelie,Biscoe,39.6,17.7,186.0,3500.0,Female
adelie,Biscoe,40.1,18.9,188.0,4300.0,Male
adelie,Biscoe,35.0,17.9,,,Female
adelie,Biscoe,42.0,19.5,,4050.0,Male
adelie,Biscoe,34.5,18.1,187.0,2900.0,Female
Adelie.,Biscoe,41.4,18.6,191.0,3700.0,Male
adelie,Biscoe,,17.5,,,
Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male
,Biscoe,36.5,16.6,181.0,2850.0,Female
,Biscoe,37.6,19.1,194.0,3750.0,Male
adelie,Biscoe,35.7,16.9,185.0,3150.0,Female
Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male
,Biscoe,37.6,17.0,185.0,3600.0,Female
Adelie,,41.1,18.2,192.0,4050.0,Male
adelie,Biscoe,36.4,,,2850.0,Female
adelie,Biscoe,41.6,18.0,192.0,3950.0,Male
Adelie,Biscoe,,16.2,195.0,3350.0,Female
Adelie.,Biscoe,,19.1,188.0,4100.0,Male
Adelie.,Torgersen,35.9,16.6,190.0,3050.0,Female
Adelie.,Torgersen,41.8,19.4,198.0,4450.0,Male
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female
Adelie,Torgersen,39.7,18.4,190.0,,Male
Adelie.,Torgersen,39.6,17.2,196.0,3550.0,Female
Adelie,Torgersen,45.8,18.9,197.0,4150.0,
adelie,Torgersen,35.5,17.5,190.0,3700.0,
,Torgersen,42.8,18.5,195.0,4250.0,Male
Adelie.,Torgersen,40.9,16.8,191.0,3700.0,Female
adelie,Torgersen,,19.4,184.0,3900.0,Male
adelie,Torgersen,36.2,16.1,,3550.0,Female
Adelie.,,42.1,19.1,195.0,4000.0,Male
adelie,Torgersen,34.6,17.2,189.0,3200.0,Female
Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male
Adelie,Torgersen,nan,18.8,187.0,3800.0,Female
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male
adelie,Dream,37.3,17.8,191.0,,Female
,Dream,41.3,20.3,194.0,3550.0,Male
Adelie,Dream,36.3,19.5,190.0,3800.0,Male
Adelie.,Dream,36.9,18.6,189.0,3500.0,Female
Adelie,Dream,38.3,19.2,,3950.0,Male
adelie,Dream,38.9,18.8,190.0,3600.0,Female
adelie,Dream,35.7,18.0,202.0,3550.0,Female
Adelie,Dream,41.1,,205.0,,Male
Adelie,Dream,,17.1,185.0,3400.0,Female
Adelie,Dream,39.6,18.1,186.0,,Male
,Dream,,17.3,187.0,3300.0,Female
adelie,Dream,40.8,18.9,208.0,4300.0,Male
,,38.1,18.6,190.0,3700.0,Female
Adelie.,Dream,40.3,18.5,196.0,4350.0,Male
adelie,Dream,33.1,16.1,178.0,2900.0,Female
adelie,,43.2,18.5,192.0,4100.0,Male
Adelie.,Biscoe,35.0,17.9,192.0,3725.0,Female
Adelie.,,41.0,,203.0,,Male
Adelie.,Biscoe,37.7,16.0,183.0,3075.0,Female
Adelie,Biscoe,37.8,20.0,190.0,4250.0,
adelie,Biscoe,37.9,18.6,193.0,2925.0,Female
Adelie,,39.7,18.9,184.0,3550.0,Male
adelie,Biscoe,38.6,17.2,199.0,3750.0,Female
Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male
Adelie.,Biscoe,38.1,17.0,181.0,3175.0,Female
Adelie,Biscoe,43.2,19.0,197.0,,Male
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female
adelie,Biscoe,45.6,,191.0,4600.0,Male
Adelie.,Biscoe,39.7,17.7,193.0,3200.0,Female
Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male
adelie,Biscoe,39.6,20.7,191.0,3900.0,Female
adelie,Biscoe,,18.3,196.0,4075.0,Male
adelie,,38.6,17.0,188.0,,Female
Adelie.,Torgersen,37.3,20.5,199.0,,
Adelie.,Torgersen,35.7,17.0,189.0,3350.0,Female
Adelie.,,41.1,18.6,189.0,3325.0,Male
Adelie.,Torgersen,36.2,17.2,187.0,3150.0,Female
Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male
Adelie.,Torgersen,,17.0,176.0,3450.0,Female
Adelie.,Torgersen,41.4,18.5,,3875.0,
,Torgersen,35.2,15.9,186.0,3050.0,Female
adelie,Torgersen,,19.0,,4000.0,
adelie,Torgersen,38.8,17.6,191.0,,Female
Adelie.,Torgersen,41.5,18.3,195.0,4300.0,Male
Adelie.,Torgersen,,17.1,191.0,3050.0,Female
adelie,Torgersen,44.1,18.0,210.0,4000.0,Male
,,38.5,17.9,190.0,,Female
adelie,Torgersen,43.1,19.2,197.0,,Male
Adelie.,,36.8,18.5,193.0,3500.0,Female
Adelie,Dream,37.5,18.5,199.0,4475.0,Male
Adelie,Dream,38.1,17.6,187.0,3425.0,Female
Adelie.,Dream,41.1,17.5,190.0,3900.0,Male
adelie,Dream,35.6,17.5,,3175.0,
Adelie.,,40.2,20.1,200.0,3975.0,Male
adelie,Dream,37.0,16.5,185.0,,Female
Adelie.,Dream,39.7,17.9,193.0,4250.0,Male
Adelie,Dream,40.2,17.1,193.0,3400.0,Female
,Dream,40.6,17.2,187.0,3475.0,Male
Adelie,Dream,32.1,15.5,188.0,3050.0,Female
adelie,Dream,,17.0,190.0,3725.0,Male
Adelie,Dream,37.3,16.8,192.0,3000.0,Female
,Dream,,18.7,185.0,3650.0,
Adelie,Dream,39.2,18.6,190.0,4250.0,
adelie,Dream,36.6,18.4,184.0,3475.0,Female
Adelie,Dream,36.0,17.8,195.0,3450.0,Female
Adelie,Dream,37.8,18.1,193.0,3750.0,Male
Adelie.,Dream,,17.1,187.0,,Female
Adelie.,Dream,41.5,18.5,201.0,4000.0,Male
chintrap,Dream,46.5,17.9,192.0,3500.0,Female
Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male
chinstrap,Dream,51.3,,193.0,3650.0,Male
chintrap,Dream,,18.7,188.0,3525.0,Female
chintrap,,52.7,19.8,197.0,3725.0,
chintrap,,45.2,17.8,198.0,3950.0,
chintrap,Dream,46.1,18.2,178.0,3250.0,Female
chinstrap,Dream,51.3,18.2,197.0,3750.0,Male
chintrap,Dream,46.0,18.9,195.0,,Female
chinstrap,Dream,51.3,19.9,198.0,3700.0,Male
Chinstrap,Dream,46.6,,193.0,3800.0,Female
chintrap,Dream,51.7,20.3,,3775.0,Male
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male
Chinstrap,,45.9,17.1,190.0,3575.0,Female
chinstrap,,50.5,19.6,201.0,4050.0,Male
chintrap,,50.3,20.0,197.0,3300.0,Male
chintrap,Dream,58.0,17.8,,3700.0,Female
chinstrap,Dream,46.4,18.6,190.0,3450.0,Female
chintrap,Dream,49.2,18.2,195.0,4400.0,Male
chinstrap,Dream,42.4,17.3,181.0,3600.0,Female
Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male
chintrap,Dream,43.2,16.6,187.0,2900.0,
chintrap,Dream,50.6,19.4,193.0,3800.0,Male
chinstrap,Dream,46.7,17.9,195.0,3300.0,Female
chintrap,Dream,52.0,19.0,197.0,,Male
chinstrap,Dream,50.5,18.4,200.0,3400.0,Female
,Dream,49.5,19.0,200.0,3800.0,Male
chintrap,Dream,46.4,17.8,191.0,3700.0,Female
chinstrap,Dream,52.8,20.0,205.0,4550.0,
chinstrap,,40.9,,187.0,3200.0,Female
chintrap,Dream,54.2,20.8,201.0,4300.0,Male
Chinstrap,Dream,42.5,16.7,187.0,,Female
chinstrap,Dream,51.0,18.8,,4100.0,Male
,,49.7,18.6,195.0,3600.0,Male
chintrap,Dream,47.5,16.8,,3900.0,Female
chintrap,Dream,47.6,18.3,195.0,3850.0,Female
Chinstrap,,52.0,20.7,210.0,4800.0,Male
chinstrap,Dream,46.9,16.6,192.0,2700.0,
,Dream,53.5,19.9,205.0,4500.0,Male
chinstrap,Dream,49.0,19.5,210.0,3950.0,Male
chintrap,Dream,46.2,17.5,,,Female
,Dream,,19.1,196.0,3550.0,Male
chintrap,Dream,45.5,17.0,196.0,3500.0,Female
,Dream,50.9,17.9,196.0,3675.0,Female
Chinstrap,,50.8,18.5,201.0,4450.0,Male
chintrap,,50.1,,190.0,3400.0,
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male
Chinstrap,Dream,51.5,18.7,,3250.0,Male
Chinstrap,Dream,49.8,17.3,198.0,,Female
chintrap,Dream,48.1,16.4,199.0,3325.0,Female
chinstrap,Dream,51.4,19.0,201.0,3950.0,
Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female
chintrap,Dream,50.7,19.7,203.0,4050.0,Male
Chinstrap,Dream,42.5,,187.0,3350.0,Female
Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male
chinstrap,Dream,45.2,16.6,191.0,3250.0,
Chinstrap,Dream,49.3,19.9,203.0,,Male
chinstrap,Dream,50.2,18.8,202.0,3800.0,Male
,Dream,45.6,,194.0,3525.0,Female
chintrap,Dream,51.9,19.5,206.0,3950.0,
chintrap,Dream,46.8,16.5,189.0,3650.0,Female
Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female
chinstrap,Dream,55.8,19.8,207.0,4000.0,Male
Chinstrap,Dream,43.5,,202.0,3400.0,Female
Chinstrap,,49.6,18.2,193.0,3775.0,Male
,Dream,50.8,,210.0,4100.0,Male
chintrap,Dream,50.2,18.7,198.0,3775.0,Female
Gentoo,Biscoe,,13.2,211.0,4500.0,Female
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male
gento,Biscoe,48.7,14.1,210.0,,Female
gento,Biscoe,50.0,15.2,218.0,5700.0,Male
gentoo,,47.6,,215.0,5400.0,Male
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female
gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male
gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female
gento,Biscoe,46.8,15.4,215.0,5150.0,Male
gento,Biscoe,40.9,13.7,214.0,4650.0,Female
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,
gentoo,,,13.7,214.0,4650.0,
,Biscoe,48.4,14.6,213.0,,Male
gento,,45.8,14.6,210.0,4200.0,Female
gentoo,Biscoe,49.3,15.7,217.0,5850.0,
,Biscoe,42.0,13.5,210.0,4150.0,Female
gentoo,,49.2,15.2,221.0,,Male
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female
,Biscoe,48.7,15.1,222.0,5350.0,Male
gento,Biscoe,50.2,14.3,218.0,5700.0,
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female
gento,Biscoe,46.5,,213.0,4400.0,Female
gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male
gento,Biscoe,42.9,,215.0,5000.0,Female
gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male
Gentoo,Biscoe,,14.3,210.0,4600.0,Female
Gentoo,Biscoe,50.0,,220.0,5550.0,Male
gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male
gento,Biscoe,42.8,14.2,209.0,4700.0,
gento,Biscoe,,14.5,207.0,5050.0,Female
gento,Biscoe,59.6,17.0,230.0,6050.0,
gentoo,,49.1,14.8,220.0,5150.0,Female
gentoo,Biscoe,48.4,16.3,220.0,5400.0,Male
gento,Biscoe,42.6,13.7,213.0,4950.0,
gento,Biscoe,44.4,17.3,219.0,5250.0,Male
gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female
gento,Biscoe,48.7,15.7,208.0,5350.0,Male
gento,Biscoe,42.7,13.7,208.0,3950.0,Female
gentoo,Biscoe,49.6,16.0,225.0,5700.0,Male
gento,Biscoe,45.3,13.7,210.0,4300.0,
gentoo,Biscoe,,15.0,,,Male
gento,Biscoe,50.5,15.9,222.0,5550.0,Male
,Biscoe,43.6,13.9,217.0,4900.0,Female
gento,Biscoe,45.5,13.9,210.0,4200.0,Female
gentoo,Biscoe,,15.9,225.0,5400.0,Male
gento,Biscoe,44.9,13.3,213.0,5100.0,Female
gento,Biscoe,45.2,15.8,215.0,5300.0,Male
,Biscoe,46.6,14.2,210.0,4850.0,Female
gentoo,Biscoe,48.5,,220.0,,Male
gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female
gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male
gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female
gentoo,Biscoe,,15.4,220.0,5050.0,Male
gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female
Gentoo,Biscoe,45.5,15.0,,5000.0,Male
gentoo,Biscoe,,14.5,208.0,4450.0,Female
gento,Biscoe,50.4,15.3,224.0,5550.0,Male
Gentoo,,45.3,13.8,208.0,4200.0,Female
gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male
gento,,45.7,13.9,214.0,4400.0,Female
gento,Biscoe,,15.7,231.0,,Male
gento,Biscoe,45.8,14.2,219.0,4700.0,Female
gentoo,Biscoe,,16.8,230.0,,Male
gento,Biscoe,46.2,,214.0,4650.0,
gento,Biscoe,49.5,16.2,229.0,5800.0,Male
gentoo,Biscoe,,14.2,220.0,4700.0,Female
gento,Biscoe,50.7,15.0,223.0,,Male
gentoo,Biscoe,,15.0,216.0,4750.0,Female
Gentoo,Biscoe,46.4,15.6,221.0,,Male
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,Male
gentoo,,46.5,14.8,217.0,5200.0,Female
Gentoo,Biscoe,46.4,15.0,216.0,,Female
gento,Biscoe,48.6,16.0,230.0,,Male
Gentoo,,47.5,14.2,209.0,4600.0,Female
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,Male
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female
Gentoo,Biscoe,52.5,15.6,,5450.0,Male
gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female
gentoo,Biscoe,50.0,15.9,224.0,5350.0,
gentoo,Biscoe,44.9,13.8,212.0,,
Gentoo,Biscoe,50.8,17.3,,5600.0,Male
gento,Biscoe,43.4,14.4,218.0,4600.0,
Gentoo,,51.3,,218.0,5300.0,Male
gento,Biscoe,47.5,,212.0,4875.0,Female
gento,Biscoe,,17.0,230.0,5550.0,Male
,Biscoe,47.5,,218.0,4950.0,Female
gento,Biscoe,52.2,17.1,228.0,5400.0,Male
gentoo,,45.5,14.5,212.0,4750.0,Female
gento,,49.5,16.1,,5650.0,Male
Gentoo,Biscoe,,14.7,214.0,4850.0,Female
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male
gentoo,Biscoe,nan,15.8,216.0,4925.0,
Gentoo,Biscoe,,14.6,222.0,4875.0,Female
gento,Biscoe,48.4,,203.0,4625.0,Female
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male
gento,Biscoe,48.5,15.0,219.0,4850.0,
gento,Biscoe,55.9,17.0,228.0,5600.0,Male
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female
gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male
,Biscoe,47.3,13.8,216.0,4725.0,
gentoo,Biscoe,46.8,16.1,215.0,5500.0,
Gentoo,,41.7,14.7,210.0,4700.0,Female
Gentoo,Biscoe,53.4,15.8,nan,5500.0,Male
,Biscoe,43.3,,208.0,4575.0,Female
gento,Biscoe,,15.1,209.0,5500.0,Male
Gentoo,,50.5,15.2,216.0,5000.0,Female
gento,Biscoe,49.8,,229.0,5950.0,Male
Gentoo,Biscoe,,15.2,213.0,4650.0,Female
,Biscoe,51.5,16.3,230.0,,Male
,Biscoe,46.2,14.1,217.0,4375.0,Female
gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male
Gentoo,Biscoe,44.5,15.7,217.0,4875.0,
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male
gentoo,,47.2,13.7,214.0,4925.0,Female
,Biscoe,,,,,
gento,Biscoe,46.8,14.3,215.0,4850.0,Female
gento,Biscoe,50.4,15.7,222.0,5750.0,Male
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female
gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male
